0.05, 2.667, 47.094, 0.695, 2.304, 845.11, 0.95, 158.46, 3.09, 2
0.033, 2.526, 75.338, 0.741, 2.183, 522.56, 0.89, 103.42, 3.35, 2
0.2, 2.667, 11.774, 0.679, 2.272, 3340.42, 0.97, 834.9, 3, 3
0.08, 3.2, 24.531, 0.685, 2.726, 1604.24, 0.96, 334.18, 3.03, 3
0.07, 2.526, 35.516, 0.686, 2.152, 1109.02, 0.96, 292.64, 3.04, 3
0.05, 2.667, 47.094, 0.732, 2.272, 828.83, 0.89, 207.16, 3.3, 3
0.03, 2.526, 82.871, 0.757, 2.152, 461.7, 0.84, 121.83, 3.44, 3
0.183, 2.909, 11.796, 0.681, 2.47, 3328.21, 0.96, 762.72, 3, 4
0.1, 2.667, 23.547, 0.694, 2.264, 1676.39, 0.95, 419.1, 3.08, 4
0.067, 2.526, 37.106, 0.717, 2.145, 1062.32, 0.92, 280.33, 3.21, 4
0.05, 2.667, 47.094, 0.729, 2.264, 833.68, 0.9, 208.42, 3.28, 4
0.033, 2.526, 75.337, 0.771, 2.145, 503.05, 0.82, 132.75, 3.52, 4
0.2, 2.667, 11.773, 0.632, 2.248, 3249.84, 1.01, 609.35, 2.73, 5
0.1, 2.667, 23.547, 0.687, 2.248, 1683.75, 0.96, 315.7, 3.04, 5
0.083, 2.021, 37.438, 0.698, 1.704, 1060.95, 0.95, 262.48, 3.1, 5
0.067, 2, 46.865, 0.738, 1.686, 836.97, 0.89, 209.24, 3.33, 5
0.033, 2.526, 75.337, 0.768, 2.13, 512.32, 0.84, 101.4, 3.5, 5
0.3752303862, 0.5915446681, 29.54716968, 0.648596382, 0.5125851741, 1372.706133, 0.99131284, 1534.56915, 2.82384086, 1
0.1740278782, 0.5655848248, 70.29498209, 0.7092076669, 0.4899904957, 619.1359038, 0.9176413747, 721.0862268, 3.170944085, 1
0.342856955, 0.615, 33.3810482, 0.6593704191, 0.533, 1294.82411, 0.9791335544, 1402.60568, 2.883545252, 1
0.2722265554, 0.561, 44.22310723, 0.6744429712, 0.486, 949.6913193, 0.9670390592, 1128.236737, 2.973695326, 1
0.344829829, 0.5792015847, 32.68574149, 0.6552250749, 0.50184212, 1240.676284, 0.9867413277, 1416.596702, 2.862698715, 1
0.4173565412, 0.615, 25.28335706, 0.6400557115, 0.533, 1566.544105, 0.996378829, 1696.944577, 2.773175495, 1
0.333154639, 0.574461282, 33.89109513, 0.657770793, 0.497716301, 1189.970846, 0.98498566, 1371.289942, 2.87762189, 1
0.2361095738, 0.561, 53.20780836, 0.6867227449, 0.486, 824.4761516, 0.9501844678, 979.4781125, 3.043521491, 1
0.2706448984, 0.615, 41.23009757, 0.6780920634, 0.533, 1031.447349, 0.9624178006, 1117.304536, 2.990526076, 1
0.1723991559, 0.5652740439, 70.58876215, 0.7096680831, 0.4897200012, 612.8186482, 0.9171234065, 714.5601725, 3.173591478, 1
0.3960372613, 0.5583283924, 33.7229376, 0.6623283924, 0.4837502252, 1359.029131, 0.9814061092, 1633.138877, 2.904532798, 1
0.2555551115, 0.615, 42.87027357, 0.6820042303, 0.533, 976.4108446, 0.9589247943, 1057.686605, 3.012881316, 1
0.1635192511, 0.561, 71.26586098, 0.7114034546, 0.486, 572.8103421, 0.9163089838, 680.4930913, 3.183862781, 1
0.2447843387, 0.615, 44.04099674, 0.6847966529, 0.533, 937.1269437, 0.9564315599, 1015.132578, 3.028838017, 1
0.1683365324, 0.561, 70.06748195, 0.709765579, 0.486, 589.5115356, 0.9185570485, 700.3345098, 3.174549371, 1
0.2219672111, 0.5599672111, 51.76021048, 0.7571731251, 0.4844716823, 758.3089324, 0.8366567306, 673.1965658, 3.441701443, 2
0.5387063168, 0.5591793558, 32.76714011, 0.7109782904, 0.4838097894, 1813.560522, 0.9011412634, 1649.408336, 3.177282778, 2
0.4263045164, 0.5026673871, 30.91578534, 0.6914168579, 0.4346673871, 1303.403788, 0.9299783873, 1297.674241, 3.072095096, 2
0.4777550106, 0.5615361396, 35.64534206, 0.7197552785, 0.4858414996, 1613.300536, 0.8889510021, 1461.711633, 3.227669191, 2
0.2319855728, 0.505, 59.93289489, 0.7593874542, 0.437, 710.8528669, 0.8356591742, 703.44756, 3.453022478, 2
0.2133388883, 0.5513388883, 55.32423071, 0.7588726432, 0.477019949, 718.5558963, 0.8340420874, 645.9781295, 3.450852694, 2
0.2587267679, 0.5700052316, 45.98814772, 0.7512953454, 0.4931424411, 893.6671827, 0.8451453536, 787.2243813, 3.408732538, 2
0.9151175922, 0.5446247864, 14.99249781, 0.6567750667, 0.4712627469, 3050.287371, 0.9764235184, 2808.549293, 2.866116124, 2
0.2388125136, 0.567163741, 46.62994429, 0.7544768738, 0.4906868673, 822.0205301, 0.8411625027, 726.1350423, 3.427093743, 2
0.3177856247, 0.5029400871, 53.49508662, 0.7107344212, 0.4349400871, 962.4183425, 0.8982766904, 959.3253709, 3.178653587, 2
0.3076478734, 0.5533333366, 41.32124523, 0.7236478932, 0.4785727728, 1009.708883, 0.8823004616, 933.7351692, 3.253333366, 2
0.3863952174, 0.5346964652, 35.1164795, 0.6905740087, 0.4622983217, 1221.292497, 0.9269239566, 1171.867138, 3.066964652, 2
0.236381586, 0.5040521641, 64.8160308, 0.7416501627, 0.4360521641, 715.5061035, 0.8560177632, 711.2432269, 3.352137604, 2
0.4414312675, 0.5216712667, 30.78000566, 0.6674588676, 0.4509242047, 1369.167025, 0.9581110516, 1338.296153, 2.936712667, 2
0.2929449647, 0.5032794404, 56.949703, 0.7201684424, 0.4352794404, 887.0724127, 0.8853812658, 883.6224415, 3.231592698, 2
0.4004776232, 0.5589915895, 30.89930435, 0.6973763889, 0.4765716435, 1413.92416, 0.9410393518, 1670.955834, 3.103202161, 3
0.6309118648, 0.5270982151, 25.48061336, 0.6852386017, 0.4488069915, 2127.809907, 0.9547017479, 2633.092058, 3.036491261, 3
0.2799820587, 0.5225062794, 43.58924319, 0.7096324008, 0.4450053824, 911.6332862, 0.9187387867, 1167.613642, 3.172540368, 3
0.400668535, 0.5590245651, 30.87871364, 0.6973451488, 0.4766002803, 1414.66311, 0.9410914186, 1671.756319, 3.103028605, 3
0.6554331908, 0.5288989999, 24.48615865, 0.6849320851, 0.4503395744, 2216.01963, 0.9550848936, 2735.166675, 3.034575532, 3
0.2976255669, 0.5150720458, 44.32885239, 0.7042879267, 0.4386331822, 948.1457647, 0.9248198854, 1240.080285, 3.146331822, 3
0.2791765002, 0.5380395773, 43.98218183, 0.7172256636, 0.458376475, 944.4116228, 0.9079572273, 1162.345739, 3.213475909, 3
0.1621309482, 0.5576033345, 71.29298924, 0.7676919069, 0.4750885724, 544.5172507, 0.8209178534, 653.219221, 3.503607155, 3
0.6487252497, 0.5435219163, 27.52500856, 0.6992948122, 0.4628605611, 2224.869688, 0.9332271041, 2703.912618, 3.112629434, 3
0.3357307791, 0.507701653, 37.09933773, 0.6888771976, 0.4323332458, 1071.452471, 0.9504093414, 1404.312439, 3.059181317, 3
0.1800516709, 0.5525855322, 66.36479051, 0.7583731311, 0.470787599, 603.0427468, 0.8370465038, 732.1044501, 3.449844987, 3
0.6752389029, 0.5442215822, 26.22142061, 0.6977850069, 0.4634497534, 2317.524595, 0.9354365752, 2814.555566, 3.104159795, 3
